iter	RMSE
0	14.73136796
1	14.35019264
2	13.95157402
3	13.5854473
4	13.24280388
5	12.9281694
6	12.61974708
7	12.32779468
8	12.03961788
9	11.74512021
10	11.45477303
11	11.21139142
12	10.99414512
13	10.75217001
14	10.51365712
15	10.27476693
16	10.0527229
17	9.846854571
18	9.635526399
19	9.462467824
20	9.290002498
21	9.120453533
22	8.946949805
23	8.782800049
24	8.626705521
25	8.491122895
26	8.35383763
27	8.221359732
28	8.088532618
29	7.949538484
30	7.843457462
31	7.715083998
32	7.607745358
33	7.507709202
34	7.401587982
35	7.303670562
36	7.213540871
37	7.125735809
38	7.043991629
39	6.962409948
40	6.894269105
41	6.824537811
42	6.748015174
43	6.686876539
44	6.618783057
45	6.56029323
46	6.497010239
47	6.439749932
48	6.378174397
49	6.327219328
50	6.276612649
51	6.218465259
52	6.171272159
53	6.123152614
54	6.081964199
55	6.038995346
56	5.996661951
57	5.958508346
58	5.921682187
59	5.889476557
60	5.854890653
61	5.821478099
62	5.792762161
63	5.76196172
64	5.733496616
65	5.705669424
66	5.677606639
67	5.651443547
68	5.629827031
69	5.608239174
70	5.583493767
71	5.563738589
72	5.540103824
73	5.520882414
74	5.499041963
75	5.481705907
76	5.464975571
77	5.450141122
78	5.431388975
79	5.416631947
80	5.402779768
81	5.386791776
82	5.372061401
83	5.358329156
84	5.341357933
85	5.323266045
86	5.307309592
87	5.295865541
88	5.281062454
89	5.269003946
90	5.254530465
91	5.244048704
92	5.230600201
93	5.224108298
94	5.213802654
95	5.202477481
96	5.192484652
97	5.180281453
98	5.172529085
99	5.164162969
100	5.153522445
101	5.144999032
102	5.136717818
103	5.124632956
104	5.116589263
105	5.104987289
106	5.097382952
107	5.091459747
108	5.083359831
109	5.076052148
110	5.0744311
111	5.066873139
112	5.059944313
113	5.053935654
114	5.050033642
115	5.048126547
116	5.042008732
117	5.0395909
118	5.033349145
119	5.027948815
120	5.020171177
121	5.01497223
122	5.008487439
123	5.007716982
124	5.002674994
125	4.997475053
126	4.994548314
127	4.988650134
128	4.983928943
